row,station_number,city,station_name,operational_status,latitude,longitude,coords_source,google_place_name,google_address,place_id,original_short_url,google_maps_link,notes
1,MK001,مكة,جبل النور,Operation,21.455069,39.874186,google_place,Darb 1 Petrol Station,"King Faisal Rd, Jabal An Nur, Makkah 24239, Saudi Arabia",ChIJz5uqgu4DwhURpWaRtc6EQwA,https://maps.app.goo.gl/bLQ8Rk8NXVCu52ic7,"https://www.google.com/maps?q=21.4550690,39.8741860",
2,MK002,مكة,المعيصم,Operation,21.465684,39.899787,google_place,محطة درب,"6588 King Faisal Rd, Makkah 24263, Saudi Arabia",ChIJ5_MC1fkBwhURQqrwJ8Qgc6o,https://maps.app.goo.gl/F45v54bDzqzHCT3t9,"https://www.google.com/maps?q=21.4656840,39.8997870",
3,MK003,مكة,العوالي,Operation,21.361111,39.899656,google_place,DARB 3 STATION,"طريق الطائف, Makkah 24372, Saudi Arabia",ChIJea6MziwHwhURWVauBUTA_Qw,https://maps.app.goo.gl/6qVC9TAckzxgxKAE8,"https://www.google.com/maps?q=21.3611110,39.8996560",
4,MK008,مكة,الحسينية,Operation,21.31928,39.887062,google_place,محطة درب,"Al Husainiah Rd, Makkah 24375, Saudi Arabia",ChIJFc7bXxAPwhURl0tAUGYVqsU,https://maps.app.goo.gl/AgQKFt6mX7ik9p586,"https://www.google.com/maps?q=21.3192800,39.8870620",
5,MK007,مكة,العمرة الجديدة,Operation,21.5454699,39.7787467,google_place,محطة درب,"Al Umrah Al Jadidah, Makkah 24414, Saudi Arabia",ChIJi_-dLQD3wRUR0pvbyZf2Lgo,https://maps.app.goo.gl/kfbiarxj5P9wHUbN9,"https://www.google.com/maps?q=21.5454699,39.7787467",
6,MK014,مكة,خليص,Operation,22.08864,39.281023,google_place,محطة درب,"حي الملك فهد, Khulais 25531, Saudi Arabia",ChIJUxZDLAAJwRURdo9Bk_qh8us,https://maps.app.goo.gl/vFwDFJo3wzNUB5wHA,"https://www.google.com/maps?q=22.0886400,39.2810230",
7,MK016,مكة,الرصيفة,Operation,21.402929,39.7924045,google_place,محطة درب,"6910 Al Mansuriah St, Ar Rusayfah, Makkah 24232, Saudi Arabia",ChIJDzfvrfIbwhURjbztWORSL-4,https://maps.app.goo.gl/turBqiYgPn5MtySC7,"https://www.google.com/maps?q=21.4029290,39.7924045",
8,MK017,مكة,عرفات الشوقية,Operation,21.3828125,39.7873125,google_place,محطة درب,"Al Shoqiyah, Makkah 24351, Saudi Arabia",ChIJnSTjBugbwhURsq66Ql59eZo,https://maps.app.goo.gl/29qAVLNJMJaAfqKX7,"https://www.google.com/maps?q=21.3828125,39.7873125",
9,MK018,مكة,الرصيفة المسار,Operation,21.408227,39.78885,google_place,محطة درب,"حي الرصيفة, MCCA7495، 7495 طريق المنصورية، 2946, Makkah Saudi Arabia",ChIJiR3yZPUbwhUREkpzBPwiwTQ,https://maps.app.goo.gl/TZYSA2igkYziBM9G8,"https://www.google.com/maps?q=21.4082270,39.7888500",
10,MK019,مكة,الشرايع,Operation,21.477305,39.915505,google_place,محطة درب,"4072 طريق السيل, Al Khadra, 8583, Makkah 24263, Saudi Arabia",ChIJ51WqCUABwhURVpGr8j6X4i4,https://maps.app.goo.gl/VDC152DbqzNfjsaA6,"https://www.google.com/maps?q=21.4773050,39.9155050",
11,MK020,مكة,ممشى الشوقية,Operation,21.3703425,39.7976621,google_place,محطة درب,"MDWB5425، 5425 معالي ابراهيم عبدالله العنقري, Walyal Ahd Dist., Makkah 24353, Saudi Arabia",ChIJ8TSQL5kbwhURyO7lZfVMs3E,https://maps.app.goo.gl/5dg9jTrY69K9FGfC9,"https://www.google.com/maps?q=21.3703425,39.7976621",
