Station Number,City,Station Name,Latitude,Longitude,Coordinates,Google Place Name,Notes
MK001,مكة,جبل النور,21.455069,39.874186,"21.455069, 39.874186",Darb 1 Petrol Station,
MK002,مكة,المعيصم,21.465684,39.899787,"21.465684, 39.899787",محطة درب,
MK003,مكة,العوالي,21.361111,39.899656,"21.361111, 39.899656",محطة درب,
MK008,مكة,الحسينية,21.31928,39.887062,"21.31928, 39.887062",محطة درب,
MK007,مكة,العمرة الجديدة,21.5454699,39.7787467,"21.5454699, 39.7787467",محطة درب الجديدة طريق المدينة المنورة,
MK014,مكة,خليص,22.08864,39.281023,"22.08864, 39.281023",محطة درب,
MK016,مكة,الرصيفة,21.4029375,39.7923125,"21.4029375, 39.7923125",محطة درب,
MK017,مكة,عرفات الشوقية,21.3828125,39.7873125,"21.3828125, 39.7873125",محطة درب,
MK018,مكة,الرصيفة المسار,21.408227,39.78885,"21.408227, 39.78885",,
MK019,مكة,الشرايع,21.4772152,39.9154227,"21.4772152, 39.9154227",محطة درب,
MK020,مكة,ممشى الشوقية,21.3703425,39.7976621,"21.3703425, 39.7976621",محطة درب,
MK022,مكة,1بطحاء قريش,21.3493706,39.8347736,"21.3493706, 39.8347736",محطة درب,
MK023,مكة,بن درويش,21.4704375,39.9289375,"21.4704375, 39.9289375",محطة درب,
MK029,مكة,الدائري الثالث-الذكرى,21.4077361,39.7839162,"21.4077361, 39.7839162",محطة درب,
MK031,مكة,2بطحاء قريش,21.3654375,39.8314375,"21.3654375, 39.8314375",محطة درب,
MK033,مكة,ابو وافي العمرة,21.5996063,39.7879791,"21.5996063, 39.7879791",محطة درب - العمرة الجديدة مكة,
MK047,مكة,القادسية,21.4656026,39.9774321,"21.4656026, 39.9774321",درب,
MK049,مكة,السلولي,21.3454637,39.7641901,"21.3454637, 39.7641901",محطة درب,
MK064,مكة,جعرانه,21.5484955,39.9480126,"21.5484955, 39.9480126",محطة درب محطةدرب,
